city,district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,competition_score,opportunity_score,recommendation_flag,avg_lead_time_days,rank
경기도,가평군,전국 주요 지역,기타/미분류,19,1918027380.0,100948809.4736842,2026-05-13 09:49:05,0.0160284951024042,0.0001584983622833,0.9375,1.0,34.71,제외,7.1,1
경기도,가평군,전국 주요 지역,행사/운영용역,25,4085790700.0,163431628.0,2026-05-12 11:16:47,0.0213713268032057,0.0003376339364782,0.9090909090909092,1.0,34.5,추천,10.6,2
경기도,가평군,전국 주요 지역,조경/녹지관리,4,232382000.0,58095500.0,2026-05-11 16:11:31,0.0026714158504007,1.9203149448330683e-05,0.8823529411764706,1.0,33.34,데이터부족,7.8,3
울산광역시,강남구,업무지구/고소득/IT,차량/운송,163,13529072050.0,83000442.02453987,2026-05-12 11:47:58,0.1442564559216384,0.0011179901733928,0.9090909090909092,1.0,39.43,추천,6.2,1
울산광역시,강남구,업무지구/고소득/IT,기타/미분류,43,1964521860.0,45686554.88372093,2026-05-11 11:07:07,0.0373998219056099,0.0001623404862342,0.8823529411764706,1.0,34.74,제외,7.9,2
울산광역시,강남구,업무지구/고소득/IT,급수/전기/설비,64,1156869580.0,18076087.1875,2026-05-04 10:56:31,0.0560997328584149,9.559922643306086e-05,0.7317073170731707,1.0,33.22,추천,5.3,3
부산광역시,강동구,주거/강변/문화,시설유지보수,4,4285957641.0,1071489410.25,2026-05-15 07:39:31,0.0026714158504007,0.0003541749580834,1.0,1.0,35.12,데이터부족,7.5,1
부산광역시,강동구,주거/강변/문화,IT장비/전산,2,160765440.0,80382720.0,2026-05-15 07:38:43,0.0008904719501335,1.3285033997670384e-05,1.0,1.0,35.04,데이터부족,10.5,2
부산광역시,강동구,주거/강변/문화,행사/운영용역,15,4391272727.0,292751515.1333333,2026-05-12 10:35:08,0.0124666073018699,0.0003628777893509,0.9090909090909092,1.0,34.14,추천,14.4,3
강원특별자치도,강릉시,전국 주요 지역,기타/미분류,113,21069053056.0,186451796.95575225,2026-05-14 16:08:32,0.0997328584149599,0.0017410650333036,0.9677419354838708,0.991,38.37,제외,5.3,1
강원특별자치도,강릉시,전국 주요 지역,행사/운영용역,105,20086593851.0,191300893.81904763,2026-05-11 17:11:35,0.0926090828138913,0.0016598784055076,0.8823529411764706,1.0,36.98,추천,6.9,2
강원특별자치도,강릉시,전국 주요 지역,IT장비/전산,82,68246499360.0,832274382.4390244,2026-05-13 10:03:08,0.0721282279608192,0.005639626677348,0.9375,0.976,36.61,추천,8.4,3
울산광역시,강북구,주거/서민/교육,건설/공사,51,3929653300.0,77052025.49019608,2026-05-15 10:41:28,0.0445235975066785,0.0003247313458014,1.0,1.0,36.79,제외,8.5,1
울산광역시,강북구,주거/서민/교육,시설유지보수,82,6769869990.0,82559390.12195122,2026-05-12 14:53:41,0.0721282279608192,0.0005594358649281,0.9090909090909092,1.0,36.54,추천,4.7,2
울산광역시,강북구,주거/서민/교육,차량/운송,170,11171774873.0,65716322.78235294,2026-04-08 14:56:30,0.1504897595725734,0.0009231922545176,0.4477611940298507,1.0,32.76,추천,5.7,3
부산광역시,강서구,공항/산업단지/주거,기타/미분류,21,33233237180.0,1582535103.8095238,2026-05-12 17:58:18,0.0178094390026714,0.0027462661489244,0.9090909090909092,1.0,34.42,제외,5.7,1
부산광역시,강서구,공항/산업단지/주거,폐기물/환경,91,151617813520.0,1666129818.901099,2026-04-20 09:31:30,0.0801424755120213,0.0125291095353929,0.5454545454545454,1.0,31.7,제외,10.2,2
서울특별시,강서구,공항/산업단지/주거,폐기물/환경,56,268994796000.0,4803478500.0,2026-04-20 17:27:13,0.0489759572573463,0.0222286892634163,0.5454545454545454,1.0,30.7,제외,8.4,3
강원특별자치도,강원특별자치도,전국 주요 지역,행사/운영용역,352,87992808403.0,249979569.32670453,2026-05-14 15:26:40,0.3125556544968833,0.0072713852628049,0.9677419354838708,1.0,47.2,추천,12.0,1
강원특별자치도,강원특별자치도,전국 주요 지역,기타/미분류,273,48275701213.0,176834070.37728938,2026-05-10 07:55:22,0.2422083704363312,0.0039893171808324,0.8571428571428571,1.0,42.65,제외,10.2,2
강원특별자치도,강원특별자치도,전국 주요 지역,폐기물/환경,218,18371187345.0,84271501.58256881,2026-05-12 09:19:26,0.1932324131789848,0.0015181238483588,0.9090909090909092,1.0,41.4,제외,6.0,3
전라남도,강진군,전국 주요 지역,건설/공사,18,1063583260.0,59087958.88888889,2026-05-14 09:38:35,0.0250737463126843,8.789040585123955e-05,0.9677419354838708,1.0,35.52,제외,2.8,1
광주광역시,강진군,전국 주요 지역,기타/미분류,20,860915530.0,43045776.5,2026-05-14 10:49:45,0.0169189670525378,7.114272871814003e-05,0.9677419354838708,1.0,35.19,제외,5.4,2
광주광역시,강진군,전국 주요 지역,의료/복지용품,8,331195680.0,41399460.0,2026-05-14 09:55:40,0.0062333036509349,2.7368729676487444e-05,0.9677419354838708,1.0,34.77,데이터부족,6.0,3
인천광역시,강화군,전국 주요 지역,시설유지보수,95,20615228853.0,217002408.97894737,2026-05-12 09:38:51,0.0837043633125556,0.0017035627569075,0.9090909090909092,0.989,36.81,추천,6.0,1
광주광역시,강화군,전국 주요 지역,행사/운영용역,27,2686804520.0,99511278.51851852,2026-05-14 10:35:59,0.0231522707034728,0.0002220271309137,0.9677419354838708,1.0,35.45,추천,9.5,2
인천광역시,강화군,전국 주요 지역,행사/운영용역,57,34338402218.0,602428109.0877193,2026-05-11 18:06:52,0.0498664292074799,0.0028375927120394,0.8823529411764706,1.0,35.3,추천,13.6,3
경상남도,거제시,전국 주요 지역,건설/공사,72,4066040000.0,56472777.777777776,2026-05-07 14:05:11,0.1047197640117994,0.0003360018150411,0.7894736842105263,1.0,36.04,제외,5.5,1
경상남도,거제시,전국 주요 지역,급수/전기/설비,13,128165200.0,9858861.538461538,2026-05-07 14:07:59,0.0176991150442477,1.0591076286782934e-05,0.7894736842105263,1.0,32.55,추천,0.2,2
경상남도,거제시,전국 주요 지역,기타/미분류,13,4504368000.0,346489846.15384614,2026-05-06 13:42:42,0.0176991150442477,0.0003722235451725,0.7692307692307692,1.0,32.26,제외,15.2,3
경상남도,거창군,전국 주요 지역,IT장비/전산,8,3947681000.0,493460125.0,2026-01-26 10:51:38,0.0103244837758112,0.0003262210851844,0.2158273381294964,1.0,23.66,데이터부족,27.6,1
경상남도,거창군,전국 주요 지역,시설유지보수,1,93940000.0,93940000.0,2025-08-05 09:44:32,0.0,7.762838168086101e-06,0.0958466453674121,1.0,21.44,데이터부족,9.0,2
대구광역시,거창군,전국 주요 지역,IT장비/전산,4,1389932000.0,347483000.0,2025-05-26 15:30:50,0.0026714158504007,0.0001148586031578,0.078125,1.0,21.28,데이터부족,9.0,3
경기도,경기도,전국 주요 지역,행사/운영용역,598,117472531162.0,196442359.8026756,2026-05-14 09:39:47,0.5316117542297417,0.0097074755014483,0.9677419354838708,1.0,56.02,추천,15.2,1
경기도,경기도,전국 주요 지역,교육물품/교구,441,72293085410.0,163929898.8888889,2026-05-14 15:51:39,0.3918076580587711,0.0059740208932239,0.9677419354838708,1.0,50.34,추천,27.6,2
경기도,경기도,전국 주요 지역,기타/미분류,394,174559788453.0,443045148.357868,2026-05-14 15:53:06,0.3499554764024933,0.0144249455867147,0.9677419354838708,1.0,48.87,제외,13.0,3
대구광역시,경산시,전국 주요 지역,행사/운영용역,74,4725815000.0,63862364.86486486,2026-05-14 09:31:45,0.0650044523597506,0.0003905230685258,0.9677419354838708,1.0,37.13,추천,9.5,1
대구광역시,경산시,전국 주요 지역,기타/미분류,23,1278416000.0,55583304.347826086,2026-05-13 13:58:14,0.0195903829029385,0.0001056433523471,0.9375,1.0,34.85,제외,10.9,2
대구광역시,경산시,전국 주요 지역,IT장비/전산,11,2508508000.0,228046181.8181818,2026-05-11 16:37:07,0.0089047195013357,0.0002072933962885,0.8823529411764706,1.0,33.6,추천,10.6,3
경상남도,경상남도,전국 주요 지역,행사/운영용역,201,34439020231.0,171338409.10945272,2026-05-12 10:48:52,0.2949852507374631,0.0028459073953661,0.9090909090909092,1.0,45.51,추천,15.3,1
경상남도,경상남도,전국 주요 지역,IT장비/전산,149,37576492000.0,252191221.47651008,2026-05-12 15:40:10,0.2182890855457227,0.003105175924211,0.9090909090909092,1.0,42.45,추천,13.1,2
경상남도,경상남도,전국 주요 지역,기타/미분류,114,29931294144.0,262555211.78947368,2026-05-14 15:15:19,0.1666666666666666,0.0024734063508756,0.9677419354838708,1.0,41.24,제외,10.2,3
경상북도,경상북도,전국 주요 지역,행사/운영용역,458,92351231555.0,201640243.56986892,2026-05-15 13:42:42,0.6740412979351033,0.0076315484903652,1.0,1.0,62.15,추천,10.9,1
경상북도,경상북도,전국 주요 지역,IT장비/전산,282,70316236589.0,249348356.69858155,2026-05-15 16:40:45,0.4144542772861357,0.0058106617546227,1.0,1.0,51.72,추천,10.6,2
경상북도,경상북도,전국 주요 지역,기타/미분류,168,38171539696.0,227211545.80952385,2026-05-15 14:37:27,0.2463126843657817,0.0031543483637079,1.0,1.0,44.93,제외,8.2,3
경상북도,경주시,전국 주요 지역,건설/공사,25,1648252000.0,65930080.0,2026-05-04 11:17:46,0.0353982300884955,0.000136205168578,0.7317073170731707,1.0,32.39,제외,2.3,1
경상북도,경주시,전국 주요 지역,시설유지보수,30,601943260.0,20064775.33333333,2026-04-23 18:43:08,0.0427728613569321,4.974226222855201e-05,0.5769230769230769,1.0,30.37,추천,0.0,2
부산광역시,경주시,전국 주요 지역,행사/운영용역,6,637540000.0,106256666.66666669,2026-04-30 09:55:13,0.0044523597506678,5.2683839106681e-05,0.6666666666666666,1.0,30.18,데이터부족,11.8,3
대전광역시,계룡시,전국 주요 지역,급수/전기/설비,1,6220000.0,6220000.0,2024-10-21 14:08:08,0.0,5.139967362731056e-07,0.0499168053244592,1.0,20.75,데이터부족,3.0,1
인천광역시,계양구,주거/교통,시설유지보수,40,2676087510.0,66902187.75,2026-05-14 17:00:56,0.0347284060552092,0.000221141518669,0.9677419354838708,1.0,35.91,추천,5.8,1
인천광역시,계양구,주거/교통,급수/전기/설비,13,4571510988.0,351654691.38461536,2026-04-29 17:22:44,0.0106856634016028,0.0003777719819402,0.6521739130434783,1.0,30.22,추천,7.3,2
인천광역시,계양구,주거/교통,행사/운영용역,18,2978627000.0,165479277.7777778,2026-04-28 09:44:05,0.0151380231522707,0.0002461422116679,0.6382978723404256,1.0,30.19,추천,11.8,3
경상북도,고령군,전국 주요 지역,IT장비/전산,4,26770570.0,6692642.5,2026-05-11 15:44:18,0.0044247787610619,2.2122163357187645e-06,0.8823529411764706,1.0,33.41,데이터부족,0.0,1
대구광역시,고령군,전국 주요 지역,시설유지보수,7,346122000.0,49446000.0,2026-04-28 16:56:47,0.0053428317008014,2.8602183014842425e-05,0.6382978723404256,1.0,29.79,데이터부족,10.3,2
경상북도,고령군,전국 주요 지역,폐기물/환경,13,1039526730.0,79963594.61538461,2026-04-07 09:19:39,0.0176991150442477,8.590246728113408e-05,0.4411764705882353,1.0,27.33,제외,2.1,3
강원특별자치도,고성군,전국 주요 지역,건설/공사,54,27881727408.0,516328285.3333333,2026-05-11 15:08:20,0.0471950133570792,0.0023040380851074,0.8823529411764706,1.0,35.18,제외,13.8,1
강원특별자치도,고성군,전국 주요 지역,행사/운영용역,28,9791856190.0,349709149.64285713,2026-05-12 17:50:07,0.0240427426536064,0.0008091611131375,0.9090909090909092,1.0,34.62,추천,11.8,2
강원특별자치도,고성군,전국 주요 지역,폐기물/환경,46,4721182000.0,102634391.30434784,2026-05-07 14:57:38,0.0400712377560106,0.0003901402153297,0.7894736842105263,1.0,33.45,제외,4.9,3
경기도,고양시,신도시/주거/교통,폐기물/환경,103,49452490880.0,480121270.6796116,2026-05-12 14:03:44,0.0908281389136242,0.0040865625261889,0.9090909090909092,1.0,37.37,제외,5.1,1
경기도,고양시,신도시/주거/교통,행사/운영용역,74,13069370802.0,176613118.94594595,2026-05-14 10:26:20,0.0650044523597506,0.0010800022407348,0.9677419354838708,1.0,37.14,추천,19.0,2
경기도,고양시,신도시/주거/교통,기타/미분류,59,20191626490.0,342230957.4576271,2026-05-14 15:22:15,0.0516473731077471,0.0016685578964478,0.9677419354838708,1.0,36.62,제외,8.6,3
전라북도,고창군,전국 주요 지역,건설/공사,72,11943877930.0,165887193.4722222,2026-05-15 18:10:34,0.1047197640117994,0.0009869958640617,1.0,1.0,39.21,제외,7.4,1
전라북도,고창군,전국 주요 지역,전문용역/컨설팅,27,5573555001.0,206427963.0,2026-05-11 13:41:42,0.0383480825958702,0.0004605770225004,0.8823529411764706,1.0,34.78,추천,12.6,2
전라북도,고창군,전국 주요 지역,폐기물/환경,111,63218106844.0,569532494.09009,2026-04-16 18:37:45,0.1622418879056047,0.0052240997735016,0.5084745762711864,0.964,33.53,제외,6.6,3
전라남도,고흥군,전국 주요 지역,IT장비/전산,21,3923291304.0,186823395.42857143,2026-04-16 15:50:07,0.0294985250737463,0.000324205615065,0.5084745762711864,1.0,28.82,추천,14.2,1
전라남도,고흥군,전국 주요 지역,전문용역/컨설팅,3,914820000.0,304940000.0,2026-04-10 17:56:59,0.0029498525073746,7.559718557513867e-05,0.4615384615384614,1.0,27.04,데이터부족,8.7,2
전라남도,고흥군,전국 주요 지역,시설유지보수,19,1852905360.0,97521334.73684213,2026-04-09 10:13:51,0.0265486725663716,0.0001531169304924,0.4545454545454545,0.947,26.82,추천,1.1,3
전라남도,곡성군,전국 주요 지역,시설유지보수,29,804202360.0,27731115.86206897,2026-04-06 17:53:50,0.0412979351032448,6.645617175934553e-05,0.4347826086956522,1.0,28.18,추천,0.6,1
전라남도,곡성군,전국 주요 지역,폐기물/환경,23,2180877110.0,94820743.91304348,2026-02-26 17:57:35,0.0324483775811209,0.0001802192470663,0.2777777777777778,1.0,25.47,제외,2.7,2
전라남도,곡성군,전국 주요 지역,건설/공사,30,825957000.0,27531900.0,2026-02-12 17:55:11,0.0427728613569321,6.825389104532566e-05,0.2459016393442623,1.0,25.4,제외,1.4,3
충청남도,공주시,전국 주요 지역,보험/금융,2,42550000.0,21275000.0,2026-05-14 13:31:01,0.0008904719501335,3.516167383990458e-06,0.9677419354838708,1.0,34.55,데이터부족,0.0,1
충청남도,공주시,전국 주요 지역,시설유지보수,18,744237090.0,41346505.0,2026-05-12 16:47:24,0.0151380231522707,6.150087383816618e-05,0.9090909090909092,1.0,34.24,추천,2.0,2
대전광역시,공주시,전국 주요 지역,폐기물/환경,12,1524457448.0,127038120.66666669,2026-05-12 16:07:19,0.0097951914514692,0.0001259752657329,0.9090909090909092,1.0,34.03,제외,5.4,3
경기도,과천시,전국 주요 지역,행사/운영용역,14,3731008380.0,266500598.57142857,2026-04-30 15:31:56,0.0115761353517364,0.0003083160981234,0.6666666666666666,1.0,30.47,추천,13.4,1
경기도,과천시,전국 주요 지역,폐기물/환경,33,17795434000.0,539255575.7575758,2026-04-06 17:35:31,0.0284951024042742,0.0014705458193831,0.4347826086956522,1.0,27.7,제외,7.1,2
경기도,과천시,전국 주요 지역,청소/환경미화,7,1315911650.0,187987378.57142857,2026-04-03 15:29:31,0.0053428317008014,0.0001087418478012,0.4166666666666667,1.0,26.47,데이터부족,7.0,3
서울특별시,관악구,청년/자취생/대학가,시설유지보수,26,6848272720.0,263395104.6153846,2026-04-22 11:12:54,0.0222617987533392,0.0005659147632135,0.5660377358490566,1.0,29.4,추천,11.1,1
서울특별시,관악구,청년/자취생/대학가,조경/녹지관리,2,450020000.0,225010000.0,2026-03-23 18:11:45,0.0008904719501335,3.7187911777752896e-05,0.3614457831325301,1.0,25.46,데이터부족,7.5,2
서울특별시,관악구,청년/자취생/대학가,IT장비/전산,11,2613370500.0,237579136.3636364,2026-03-16 13:58:16,0.0089047195013357,0.0002159588276,0.3333333333333333,1.0,25.36,추천,11.9,3
경기도,광명시,전국 주요 지역,행사/운영용역,31,18386529320.0,593113849.032258,2026-05-07 10:29:25,0.0267141585040071,0.0015193916498182,0.7894736842105263,1.0,32.95,추천,14.6,1
경기도,광명시,전국 주요 지역,청소/환경미화,19,1895272800.0,99751200.0,2026-04-30 09:14:45,0.0160284951024042,0.0001566180118243,0.6666666666666666,1.0,30.65,추천,7.4,2
경기도,광명시,전국 주요 지역,IT장비/전산,11,3112965480.0,282996861.8181818,2026-04-28 17:25:45,0.0089047195013357,0.000257243423931,0.6382978723404256,1.0,29.94,추천,9.9,3
광주광역시,광산구,전국 주요 지역,시설유지보수,54,11264019950.0,208592962.03703704,2026-05-13 16:01:56,0.0471950133570792,0.0009308150308062,0.9375,0.981,35.59,추천,7.4,1
광주광역시,광산구,전국 주요 지역,행사/운영용역,18,2507066000.0,139281444.44444445,2026-05-14 13:20:15,0.0151380231522707,0.0002071742349873,0.9677419354838708,1.0,35.13,추천,12.5,2
광주광역시,광산구,전국 주요 지역,보험/금융,9,1973485860.0,219276206.66666663,2026-05-13 16:04:44,0.0071237756010685,0.0001630812365146,0.9375,1.0,34.35,데이터부족,6.3,3
전라남도,광양시,전국 주요 지역,행사/운영용역,10,10.0,1.0,2025-09-17 10:52:00,0.0132743362831858,8.26361312336183e-13,0.1111111111111111,1.0,22.2,추천,12.7,1
전라남도,광양시,전국 주요 지역,차량/운송,3,484026000.0,161342000.0,2025-10-30 13:53:35,0.0029498525073746,3.999803605648332e-05,0.13215859030837,1.0,22.1,데이터부족,11.0,2
전라남도,광양시,전국 주요 지역,폐기물/환경,1,83031000.0,83031000.0,2025-07-30 10:11:45,0.0,6.861360612458559e-06,0.0940438871473354,1.0,21.41,제외,6.0,3
광주광역시,광주시,전국 주요 지역,행사/운영용역,918,141465288910.0,154101621.90631807,2026-05-15 09:27:48,0.8165627782724845,0.0116901441793684,1.0,1.0,67.95,추천,10.9,1
광주광역시,광주시,전국 주요 지역,시설유지보수,807,401219792545.0,497174464.1201983,2026-05-13 13:18:54,0.717720391807658,0.0331552514302737,0.9375,0.991,63.42,추천,6.7,2
광주광역시,광주시,전국 주요 지역,기타/미분류,537,111856894431.0,208299617.1899441,2026-05-14 16:38:08,0.4772929652715939,0.0092434210075851,0.9677419354838708,1.0,53.84,제외,10.1,3
서울특별시,광진구,대학/강변/상업,IT장비/전산,18,7166276170.0,398126453.8888889,2026-03-30 14:29:54,0.0151380231522707,0.0005921933380404,0.3947368421052631,1.0,26.54,추천,10.2,1
서울특별시,광진구,대학/강변/상업,행사/운영용역,22,6897205800.0,313509354.54545456,2026-03-24 06:19:48,0.0186999109528049,0.000569958403634,0.3658536585365853,1.0,26.25,추천,17.0,2
서울특별시,광진구,대학/강변/상업,건설/공사,6,8343595574.0,1390599262.3333333,2026-03-31 16:48:19,0.0044523597506678,0.0006894824588133,0.4,1.0,26.2,제외,13.8,3
대전광역시,괴산군,전국 주요 지역,조경/녹지관리,6,1956388400.0,326064733.3333333,2026-05-06 16:48:47,0.0044523597506678,0.0001616683685663,0.7692307692307692,1.0,31.72,데이터부족,5.3,1
대전광역시,괴산군,전국 주요 지역,폐기물/환경,5,523730000.0,104746000.0,2026-04-01 16:51:12,0.0035618878005342,4.32790210109829e-05,0.4054054054054054,1.0,26.22,제외,5.0,2
충청북도,괴산군,전국 주요 지역,기타/미분류,6,2354821000.0,392470166.6666667,2026-02-03 21:29:58,0.0044523597506678,0.0001945932971876,0.2290076335877862,1.0,23.62,제외,7.5,3
전라남도,구례군,전국 주요 지역,건설/공사,12,997222000.0,83101833.33333333,2026-02-25 14:08:59,0.0162241887905604,8.240656806105129e-05,0.2752293577981651,1.0,24.78,제외,3.2,1
전라남도,구례군,전국 주요 지역,기타/미분류,2,9460000.0,4730000.0,2026-02-24 09:51:36,0.0014749262536873,7.817378014700289e-07,0.2727272727272727,1.0,24.15,제외,0.0,2
전라남도,구례군,전국 주요 지역,폐기물/환경,6,1147500000.0,191250000.0,2026-01-19 16:56:55,0.0073746312684365,9.482496059057696e-05,0.2054794520547945,1.0,23.38,제외,3.7,3
서울특별시,구로구,산업/디지털/제조,IT장비/전산,9,3085648100.0,342849788.8888889,2026-04-20 09:46:05,0.0071237756010685,0.0002549860213323,0.5454545454545454,1.0,28.47,데이터부족,11.1,1
서울특별시,구로구,산업/디지털/제조,조경/녹지관리,1,98824000.0,98824000.0,2026-04-20 13:25:35,0.0,8.166433033031092e-06,0.5454545454545454,1.0,28.18,데이터부족,29.0,2
서울특별시,구로구,산업/디지털/제조,시설유지보수,13,36296000520.0,2792000040.0,2026-04-09 16:10:55,0.0106856634016028,0.0029993610622261,0.4545454545454545,1.0,27.32,추천,12.6,3
경기도,구리시,전국 주요 지역,보험/금융,10,2836974000.0,283697400.0,2026-05-11 09:11:26,0.0080142475512021,0.0002344365557703,0.8823529411764706,1.0,33.56,추천,2.9,1
경기도,구리시,전국 주요 지역,폐기물/환경,39,4148520600.0,106372323.07692309,2026-05-06 17:29:29,0.0338379341050756,0.0003428176927269,0.7692307692307692,1.0,32.9,제외,5.2,2
경기도,구리시,전국 주요 지역,IT장비/전산,16,3103710120.0,193981882.5,2026-05-06 17:11:06,0.0133570792520035,0.0002564785967874,0.7692307692307692,1.0,32.08,추천,7.9,3
경상북도,구미시,전국 주요 지역,급수/전기/설비,4,68361000.0,17090250.0,2026-05-12 14:37:36,0.0044247787610619,5.64908856726138e-06,0.9090909090909092,1.0,33.81,데이터부족,0.0,1
경상북도,구미시,전국 주요 지역,건설/공사,5,130414000.0,26082800.0,2026-05-07 09:36:22,0.0058997050147492,1.0776908418701092e-05,0.7894736842105263,1.0,32.08,제외,0.0,2
경상북도,구미시,전국 주요 지역,인쇄/홍보물,9,1744963000.0,193884777.7777778,2026-04-27 13:31:37,0.0117994100294985,0.0001441969914658,0.625,1.0,29.85,데이터부족,11.3,3
전라북도,군산시,전국 주요 지역,폐기물/환경,261,97513583287.0,373615261.6360153,2026-05-13 15:36:17,0.3834808259587021,0.0080581452655648,0.9375,0.992,49.44,제외,6.0,1
전라북도,군산시,전국 주요 지역,행사/운영용역,116,24650442984.0,212503818.8275862,2026-05-14 11:37:53,0.1696165191740413,0.0020370172413926,0.9677419354838708,1.0,41.35,추천,12.3,2
전라북도,군산시,전국 주요 지역,건설/공사,79,26558825796.0,336187668.3037975,2026-05-11 18:18:50,0.1150442477876106,0.002194718613889,0.8823529411764706,0.987,37.63,제외,11.7,3
대구광역시,군위군,전국 주요 지역,교육물품/교구,4,1007400930.0,251850232.5,2026-05-14 14:44:07,0.0026714158504007,8.32477154563491e-05,0.9677419354838708,1.0,34.63,데이터부족,13.0,1
대구광역시,군위군,전국 주요 지역,건설/공사,47,21333100600.0,453895757.4468085,2026-05-13 13:52:05,0.0409617097061442,0.0017628849008015,0.9375,0.936,34.47,제외,11.8,2
대구광역시,군위군,전국 주요 지역,IT장비/전산,24,2930872100.0,122119670.83333331,2026-05-07 17:49:27,0.0204808548530721,0.0002421959314845,0.7894736842105263,1.0,32.67,추천,6.7,3
경기도,군포시,전국 주요 지역,폐기물/환경,24,1845210000.0,76883750.0,2026-05-07 16:30:54,0.0204808548530721,0.0001524810157135,0.7894736842105263,1.0,32.67,제외,5.5,1
경기도,군포시,전국 주요 지역,기타/미분류,5,347386700.0,69477340.0,2026-04-29 13:33:04,0.0035618878005342,2.8706692930013583e-05,0.6521739130434783,1.0,29.93,제외,8.2,2
경기도,군포시,전국 주요 지역,행사/운영용역,20,2493060660.0,124653033.0,2026-04-03 13:55:12,0.0169189670525378,0.0002060168878731,0.4166666666666667,1.0,26.93,추천,12.5,3
강원특별자치도,금산군,전국 주요 지역,차량/운송,2,184050000.0,92025000.0,2026-02-05 16:06:21,0.0008904719501335,1.5209179953547445e-05,0.2325581395348837,1.0,23.52,데이터부족,5.0,1
충청남도,금산군,전국 주요 지역,기타/미분류,5,64102600.0,12820520.0,2025-12-18 16:18:44,0.0035618878005342,5.297190866016139e-06,0.1685393258426966,1.0,22.67,제외,0.0,2
강원특별자치도,금산군,전국 주요 지역,시설유지보수,4,193753000.0,48438250.0,2025-12-04 11:21:27,0.0026714158504007,1.6010998334907243e-05,0.15625,1.0,22.45,데이터부족,5.8,3
부산광역시,금정구,대학/주거/산,차량/운송,9,962197601.0,106910844.55555557,2026-04-21 14:03:31,0.0071237756010685,7.951228722890867e-05,0.5555555555555556,1.0,28.62,데이터부족,6.6,1
부산광역시,금정구,대학/주거/산,폐기물/환경,29,39257610720.0,1353710714.4827583,2026-04-14 16:04:42,0.0249332146037399,0.0032440970713762,0.4918032786885246,1.0,28.46,제외,9.8,2
부산광역시,금정구,대학/주거/산,행사/운영용역,20,2417902846.0,120895142.3,2026-04-17 15:58:00,0.0169189670525378,0.0001998061368921,0.5172413793103449,1.0,28.44,추천,15.0,3
서울특별시,금천구,제조/산업단지/중소기업,보험/금융,8,1903061300.0,237882662.5,2026-04-20 17:40:16,0.0062333036509349,0.0001572616233324,0.5454545454545454,1.0,28.44,데이터부족,6.4,1
서울특별시,금천구,제조/산업단지/중소기업,전문용역/컨설팅,8,1927700000.0,240962500.0,2026-04-16 20:46:38,0.0062333036509349,0.000159297670179,0.5084745762711864,1.0,27.88,데이터부족,9.5,2
서울특별시,금천구,제조/산업단지/중소기업,시설유지보수,7,2936424000.0,419489142.85714287,2026-03-23 17:59:18,0.0053428317008014,0.0002426547190215,0.3614457831325301,1.0,25.64,데이터부족,18.1,3
부산광역시,기장군,농어촌/관광/신도시,폐기물/환경,100,5924357140.0,59243571.4,2026-05-11 17:46:15,0.0881567230632235,0.0004895659540958,0.8823529411764706,1.0,36.77,제외,5.2,1
울산광역시,기장군,농어촌/관광/신도시,전문용역/컨설팅,2,561000000.0,280500000.0,2026-05-13 09:21:05,0.0008904719501335,4.6358869622059854e-05,0.9375,1.0,34.1,데이터부족,13.0,2
대구광역시,기장군,농어촌/관광/신도시,폐기물/환경,7,369270009.0,52752858.42857143,2026-05-11 17:50:59,0.0053428317008014,3.05150449243634e-05,0.8823529411764706,1.0,33.45,제외,4.0,3
전라북도,김제시,전국 주요 지역,폐기물/환경,159,15695162831.0,98711715.918239,2026-05-12 13:57:09,0.2330383480825958,0.0012969875354355,0.9090909090909092,1.0,42.99,제외,6.1,1
전라북도,김제시,전국 주요 지역,행사/운영용역,66,10734902590.0,162650039.24242425,2026-05-08 15:06:46,0.0958702064896755,0.0008870908192073,0.8108108108108107,1.0,36.02,추천,12.1,2
전라북도,김제시,전국 주요 지역,건설/공사,39,28078430244.0,719959749.8461539,2026-05-12 14:38:47,0.0560471976401179,0.0023202928464771,0.9090909090909092,1.0,35.94,제외,9.8,3
경상북도,김천시,전국 주요 지역,행사/운영용역,26,95011420.0,3654285.384615385,2026-05-14 17:14:46,0.0368731563421828,7.851376171812424e-06,0.9677419354838708,1.0,35.99,추천,9.2,1
경상북도,김천시,전국 주요 지역,기타/미분류,10,4400.0,440.0,2026-05-15 16:20:58,0.0132743362831858,3.6359897742792037e-10,1.0,1.0,35.53,제외,11.2,2
대구광역시,김천시,전국 주요 지역,시설유지보수,4,838459000.0,209614750.0,2026-05-12 13:22:35,0.0026714158504007,6.928700795800835e-05,0.9090909090909092,1.0,33.74,데이터부족,17.5,3
경기도,김포시,신도시/공항/주거,행사/운영용역,58,13287999093.0,229103432.63793105,2026-05-13 18:14:01,0.0507569011576135,0.0010980688368813,0.9375,1.0,36.12,추천,17.0,1
경기도,김포시,신도시/공항/주거,폐기물/환경,69,58688454196.0,850557307.1884058,2026-05-11 16:35:22,0.0605520926090828,0.0048497868028388,0.8823529411764706,1.0,35.78,제외,5.8,2
경기도,김포시,신도시/공항/주거,교육물품/교구,35,3289290090.0,93979716.85714284,2026-05-07 10:45:25,0.0302760463045414,0.0002718142075426,0.7894736842105263,1.0,33.06,추천,20.9,3
